srcStateName,srcYear,Cognizable crimes reported by IPC,Registered murder cases,Registered cases of offence against state,Cases reported under the Prevention of Corruption Act and related sections of IPC,Value of property stolen,Value of property recovered,Cases registered by Railway Protection Force,Registered cases of crime or atrocities against Scheduled Castes (SCs),Registered cases of crime or atrocities against Scheduled Tribes (STs),Cognizable crimes registered under SLL (Special & Local Laws).,Cognizable crimes registered under IPC (Indian Penal Code) and SLL (Special & Local Laws),Cases registered under crime against women (including both IPC and SLL (Special & Local Laws crimes),Cases of crime against foreigners,Registered cyber-crime cases,Cases registered under economic offences,Cases registered under environment related offences,Cases registered under IPC and SLL (Special & Local Laws) in which juveniles were apprehended.,YearCode,Year
Odisha,2016,81460,1328,25,569,111.2783073,28.41489724,32473,1796,681,22105,103565,17837,1,317,3756,1,994,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016,1376,36,15,10,8.1380584,1.8858279,35,0,0,532,1908,105,0,2,140,3,18,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,2016,2425,29,0,5,8.9105931,3.4995726,0,0,0,375,2800,120,0,1,119,1,53,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016,3366,108,51,0,14.97956752,1.7080632,0,0,0,216,3582,372,0,39,324,0,84,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016,3170,78,335,0,8.550415835,2.9929104,0,2,1,928,4098,253,0,11,137,2,10,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016,261714,2299,178,1016,3371.276576,266.9169112,223360,1750,403,169152,430866,31388,38,2380,13008,170,6606,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016,264418,2004,21,402,236.7456807,72.5673815,98964,4922,1823,100736,365154,26604,2,258,2825,32,7369,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016,260097,305,317,430,83.0546576,18.2417155,29195,810,182,447773,707870,10034,15,283,5217,28,628,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016,148402,1573,148,25,276.5805465,105.3072547,37839,1869,374,31077,179479,14131,12,1101,7980,178,453,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016,40710,1514,106,119,27.9243861,5.9087803,18411,525,280,7107,47817,5453,2,259,3119,139,140,2016,"Calendar Year (Jan - Dec), 2016"
Jammu & Kashmir,2016,24501,142,185,55,24.99406237,11.2631682,1023,1,0,2123,26624,2850,0,28,642,4,198,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016,13386,101,58,28,19.5650217,8.6154091,236,116,2,3863,17249,1222,4,31,507,178,204,2016,"Calendar Year (Jan - Dec), 2016"
